emoji,words,category
🫲,leftwards hand | hand | handshake | hold,hand fingers open
🫳,palm down hand | dismiss | down | drop,hand fingers open
🫴,palm up hand | beckon | catch | come,hand fingers open
🫵,index pointing at the viewer | at | finger | hand,hand single finger
🫶,heart hands | hands | heart | love,hands
🫷,leftwards pushing hand | block | five | halt,hand fingers open
🫸,rightwards pushing hand | block | five | halt,hand fingers open
😀,grinning | cheerful | cheery | face,face smiling
😁,beaming face with smiling eyes | beaming | eye | eyes,face smiling
😂,face with tears of joy | crying | face | feels,face smiling
😃,grinning face with big eyes | awesome | big | eyes,face smiling
😄,grinning face with smiling eyes | eye | eyes | face,face smiling
😅,grinning face with sweat | cold | dejected | excited,face smiling
😆,grinning squinting | closed | eyes | face,face smiling
😇,smiling face with halo | angel | angelic | angels,face smiling
😈,smiling face with horns | demon | devil | evil,face negative
😉,winking | face | flirt | heartbreaker,face smiling
😊,smiling face with smiling eyes | blush | eye | eyes,face smiling
😋,face savoring food | delicious | eat | face,face tongue
😌,relieved | calm | face | peace,face sleepy
😍,smiling face with heart-eyes | bae | eye | face,face affection
😎,smiling face with sunglasses | awesome | beach | bright,face glasses
😏,smirking | boss | dapper | face,face neutral skeptical
😐,neutral | awkward | blank | deadpan,face neutral skeptical
😑,expressionless | awkward | dead | face,face neutral skeptical
😒,unamused | bored | face | fine,face neutral skeptical
😓,downcast face with sweat | close | cold | downcast,face concerned
😔,pensive | awful | bored | dejected,face sleepy
😕,confused | befuddled | confusing | dunno,face concerned
😖,confounded | annoyed | confused | cringe,face concerned
😗,kissing | date | dating | face,face affection
😘,face blowing a kiss | adorbs | bae | blowing,face affection
